Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
0,1,1,388800.000,2279,1,,22D55580 1FA42100 0E747F00 0AAAAA80 2AAAAA80 2AAAAA80 2AAA82C0 00982B80 003FFE00 056C8400,No
0,2,2,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAAB680 00982B80 000009C0 2DD85D00,No
0,3,3,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAA8100 00982B80 00002D00 3B8E0B00,No
0,4,4,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABDC0 00982B80 00001880 051A8B00,No
0,5,5,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABA00 00982B80 003FFCC0 3B530400,No
0,6,6,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAA8200 00982B80 003FF100 1208B800,No
0,7,7,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABA00 00982B80 003FE900 02364300,No
0,8,8,388800.000,2279,1,,22D55580 1FA42100 0E744000 0AAAAA80 2AAAAA80 2AAAAA80 2AAA82C0 00982B80 003FFBC0 3B570500,No
0,9,9,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAA8080 00982B80 00001680 3E091700,No
0,10,10,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAA8140 00982B80 003FFC80 3E404600,No
0,11,11,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABB80 00982B80 003FD780 33EDEC00,No
0,12,12,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAAB940 00982B80 003FF680 3215AA00,No
0,13,13,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAAB9C0 00982B80 00000A00 12C1D300,No
0,14,14,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABBC0 00982B80 00001900 060D1D00,No
0,15,15,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABA40 00982B80 00000800 02899E00,No
0,16,16,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABA80 00982B80 00000C40 311D3E00,No
0,17,17,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABA00 00982B80 00000080 17B70E00,No
0,18,18,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABB80 00982B80 003FE440 3255E800,No
0,19,19,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAAB7C0 00982B80 00000B80 0C2B7D00,No
0,20,20,388800.000,2279,1,,22D55580 1FA42100 0E740000 0AAAAA80 2AAAAA80 2AAAAA80 2AAABB80 00982B80 003FFBC0 0D7F8000,No
