Elapsed Time (ms),Skydel SV ID,PRN,GPS TOW,GPS Week Number,Subframe,Page,Navigation Message (Hex),Modified
0,2,2,388800.000,2279,1,-1,553F4880 E7CE1BF4 045C0017 BB3F000D C600000F F19B107F E6FFE751 9DFB3006 21F18724 00000000,No
0,3,3,388800.000,2279,1,-1,553F4880 E7CB51E0 039C0017 BB3F4007 8200000C 819DA940 1D804222 87332BF8 503BC15C 00000000,No
0,6,6,388800.000,2279,1,-1,553F4880 E735C104 02B00017 BB3F0004 9700000C 1B625A40 028040DC BD1C7C39 732FC790 00000000,No
0,9,9,388800.000,2279,1,-1,553F4880 E76BE32F FF340017 BB3F000B 1200000E 42BA3FFF EA00045F 439803DD 61E7A9EC 00000000,No
0,10,10,388800.000,2279,1,-1,553F4880 E7E2E727 F8200017 BB3E4012 E200000E 6E19F200 0A801958 53A5EFF2 12C42048 00000000,No
12000,2,2,388812.000,2279,2,-1,553F4909 94777F85 7BB003E9 1BAF2BAF 5786FC7E 99B21876 32BBFF2E 01460055 630B265C 00000000,No
12000,3,3,388812.000,2279,2,-1,553F4909 60EF51F5 7BB0040F 82E32BAF 6A0160D4 454836CB 305FFFB1 F02D8D72 83C53FB4 00000000,No
12000,6,6,388812.000,2279,2,-1,553F490A E1C63E61 7BB003DD 425F2BAD 4E4590FA 17BDF565 5053FFDB B021E013 A2EE7474 00000000,No
12000,9,9,388812.000,2279,2,-1,553F490B 9A60D099 7BB003FF 34EB2BAB E1CD2060 FC2DEE6A 5687FF51 514CD3F4 11E3B004 00000000,No
12000,10,10,388812.000,2279,2,-1,553F4908 9627DB11 7BB00142 3E732BAF 9FA724B7 0AA7C20D 806BFEFB 80357A71 915B1174 00000000,No
24000,2,2,388824.000,2279,3,5,553F4990 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 09A7D44C 00000000,No
24000,3,3,388824.000,2279,3,5,553F4990 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0FBEE7A0 00000000,No
24000,6,6,388824.000,2279,3,5,553F4990 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1BE84FC8 00000000,No
24000,9,9,388824.000,2279,3,5,553F4990 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2713B770 00000000,No
24000,10,10,388824.000,2279,3,5,553F4990 50183FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 2B21D0A8 00000000,No
36000,2,2,388836.000,2279,4,5,553F4A18 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0A497904 00000000,No
36000,3,3,388836.000,2279,4,5,553F4A18 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 0C504AE8 00000000,No
36000,6,6,388836.000,2279,4,5,553F4A18 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 1806E280 00000000,No
36000,9,9,388836.000,2279,4,5,553F4A18 50187FFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFFFFF FFFFF800 24FD1A38 00000000,No
