Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
0,51.66383056,39.27188611,10,0,0,0
100,51.6638300534716,39.2718871791945,10,0,0,0
200,51.6638285338865,39.2718903867781,10,0,0,0
300,51.6638260012446,39.2718957327504,10,0,0,0
400,51.6638224555459,39.2719032171111,10,0,0,0
500,51.6638178967904,39.2719128398598,10,0,0,0
600,51.6638123249781,39.2719246009958,10,0,0,0
700,51.6638057401091,39.2719385005182,10,0,0,0
800,51.6637981421833,39.2719545384262,10,0,0,0
900,51.6637895312007,39.2719727147187,10,0,0,0
1000,51.6637799071613,39.2719930293945,10,0,0,0
1100,51.6637692700652,39.2720154824522,10,0,0,0
1200,51.6637576199122,39.2720400738904,10,0,0,0
1300,51.6637449567024,39.2720668037072,10,0,0,0
1400,51.6637312804358,39.2720956719011,10,0,0,0
1500,51.6637165911124,39.27212667847,10,0,0,0
1600,51.6637008887321,39.2721598234119,10,0,0,0
1700,51.663684173295,39.2721951067246,10,0,0,0
1800,51.6636664448011,39.2722325284057,10,0,0,0
1900,51.6636477032503,39.2722720884526,10,0,0,0
2000,51.6636279486427,39.2723137868628,10,0,0,0
2100,51.6636071809781,39.2723576236335,10,0,0,0
2200,51.6635854002567,39.2724035987616,10,0,0,0
2300,51.6635626064784,39.2724517122443,10,0,0,0
2400,51.6635387996432,39.2725019640781,10,0,0,0
2500,51.6635139797511,39.2725543542599,10,0,0,0
2600,51.663488146802,39.2726088827859,10,0,0,0
2700,51.663461300796,39.2726655496527,10,0,0,0
2800,51.663433441733,39.2727243548565,10,0,0,0
2900,51.663404569613,39.2727852983932,10,0,0,0
3000,51.6633746844361,39.2728483802588,10,0,0,0
3100,51.6633437862021,39.2729136004492,10,0,0,0
3200,51.6633118749111,39.2729809589598,10,0,0,0
3300,51.6632789505631,39.2730504557863,10,0,0,0
3400,51.6632450131581,39.2731220909239,10,0,0,0
3500,51.6632100626959,39.273195864368,10,0,0,0
3600,51.6631740991767,39.2732717761134,10,0,0,0
3700,51.6631371226003,39.2733498261553,10,0,0,0
3800,51.6630996394953,39.2734289453109,10,0,0,0
3900,51.66306215639,39.2735080644013,10,0,0,0
4000,51.6630246732845,39.2735871834264,10,0,0,0
4100,51.6629871901787,39.2736663023862,10,0,0,0
4200,51.6629497070727,39.2737454212807,10,0,0,0
4300,51.6629122239665,39.2738245401099,10,0,0,0
4400,51.66287474086,39.2739036588739,10,0,0,0
4500,51.6628372577533,39.2739827775726,10,0,0,0
4600,51.6627997746463,39.274061896206,10,0,0,0
4700,51.6627622915391,39.2741410147741,10,0,0,0
4800,51.6627248084317,39.2742201332769,10,0,0,0
4900,51.662687325324,39.2742992517144,10,0,0,0
5000,51.6626498422161,39.2743783700867,10,0,0,0
5100,51.662612359108,39.2744574883937,10,0,0,0
5200,51.6625748759996,39.2745366066354,10,0,0,0
5300,51.6625373928909,39.2746157248118,10,0,0,0
5400,51.662499909782,39.2746948429229,10,0,0,0
5500,51.6624624266729,39.2747739609688,10,0,0,0
5600,51.6624249435636,39.2748530789493,10,0,0,0
5700,51.6623874604539,39.2749321968646,10,0,0,0
5800,51.6623499773441,39.2750113147146,10,0,0,0
5900,51.662312494234,39.2750904324993,10,0,0,0
6000,51.6622750111237,39.2751695502188,10,0,0,0
6100,51.6622375280131,39.275248667873,10,0,0,0
6200,51.6622000449023,39.2753277854618,10,0,0,0
6300,51.6621625617912,39.2754069029855,10,0,0,0
6400,51.66212507868,39.2754860204438,10,0,0,0
6500,51.6620875955684,39.2755651378368,10,0,0,0
6600,51.6620501124567,39.2756442551646,10,0,0,0
6700,51.6620126293447,39.2757233724271,10,0,0,0
6800,51.6619751462324,39.2758024896243,10,0,0,0
6900,51.6619376631199,39.2758816067562,10,0,0,0
7000,51.6619001800072,39.2759607238229,10,0,0,0
7100,51.6618626968942,39.2760398408242,10,0,0,0
7200,51.661825213781,39.2761189577603,10,0,0,0
7300,51.6617877306675,39.2761980746311,10,0,0,0
7400,51.6617502475538,39.2762771914367,10,0,0,0
7500,51.6617127644399,39.2763563081769,10,0,0,0
7600,51.6616752813257,39.2764354248519,10,0,0,0
7700,51.6616377982113,39.2765145414616,10,0,0,0
7800,51.6616003150967,39.276593658006,10,0,0,0
7900,51.6615628319818,39.2766727744852,10,0,0,0
8000,51.6615253488666,39.276751890899,10,0,0,0
8100,51.6614878657512,39.2768310072476,10,0,0,0
8200,51.6614503826356,39.2769101235309,10,0,0,0
8300,51.6614128995198,39.276989239749,10,0,0,0
8400,51.6613754164037,39.2770683559017,10,0,0,0
8500,51.6613379332873,39.2771474719892,10,0,0,0
8600,51.6613004501707,39.2772265880114,10,0,0,0
8700,51.6612629670539,39.2773057039683,10,0,0,0
8800,51.6612254839369,39.27738481986,10,0,0,0
8900,51.6611880008196,39.2774639356864,10,0,0,0
9000,51.661150517702,39.2775430514475,10,0,0,0
9100,51.6611130345842,39.2776221671433,10,0,0,0
9200,51.6610755514662,39.2777012827738,10,0,0,0
9300,51.6610380683479,39.2777803983391,10,0,0,0
9400,51.6610005852294,39.2778595138391,10,0,0,0
9500,51.6609631021107,39.2779386292738,10,0,0,0
9600,51.6609256189917,39.2780177446432,10,0,0,0
9700,51.6608881358725,39.2780968599474,10,0,0,0
9800,51.660850652753,39.2781759751863,10,0,0,0
9900,51.6608131696333,39.2782550903599,10,0,0,0
10000,51.6607756865133,39.2783342054682,10,0,0,0
10100,51.6607382033932,39.2784133205113,10,0,0,0
10200,51.6607007202727,39.2784924354891,10,0,0,0
10300,51.660663237152,39.2785715504016,10,0,0,0
10400,51.6606257540311,39.2786506652489,10,0,0,0
10500,51.66058827091,39.2787297800308,10,0,0,0
10600,51.6605507877886,39.2788088947475,10,0,0,0
10700,51.660513304667,39.2788880093989,10,0,0,0
10800,51.6604758215451,39.2789671239851,10,0,0,0
10900,51.660438338423,39.279046238506,10,0,0,0
11000,51.6604008553006,39.2791253529616,10,0,0,0
11100,51.660363372178,39.2792044673519,10,0,0,0
11200,51.6603258890552,39.2792835816769,10,0,0,0
11300,51.6602884059321,39.2793626959367,10,0,0,0
11400,51.6602509228088,39.2794418101312,10,0,0,0
11500,51.6602134396852,39.2795209242604,10,0,0,0
11600,51.6601759565614,39.2796000383244,10,0,0,0
11700,51.6601384734374,39.2796791523231,10,0,0,0
11800,51.6601009903131,39.2797582662565,10,0,0,0
11900,51.6600635071886,39.2798373801247,10,0,0,0
12000,51.6600260240638,39.2799164939275,10,0,0,0
12100,51.6599885409388,39.2799956076651,10,0,0,0
12200,51.6599510578136,39.2800747213375,10,0,0,0
12300,51.6599135746881,39.2801538349445,10,0,0,0
12400,51.6598760915624,39.2802329484863,10,0,0,0
12500,51.6598386084364,39.2803120619628,10,0,0,0
12600,51.6598011253102,39.280391175374,10,0,0,0
12700,51.6597636421838,39.28047028872,10,0,0,0
12800,51.6597261590571,39.2805494020007,10,0,0,0
12900,51.6596886759301,39.2806285152162,10,0,0,0
