Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
0,51.66383056,39.27188611,10,0,0,0
100,51.6638383560004,39.2718788889838,10,0,0,0
200,51.6638461765782,39.2718716787247,10,0,0,0
300,51.6638540217559,39.2718644794024,10,0,0,0
400,51.6638618915554,39.2718572911976,10,0,0,0
500,51.6638697859985,39.2718501142912,10,0,0,0
600,51.6638777051065,39.2718429488648,10,0,0,0
700,51.6638856489006,39.2718357951004,10,0,0,0
800,51.6638936174015,39.2718286531808,10,0,0,0
900,51.6639016106298,39.271821523289,10,0,0,0
1000,51.6639096286055,39.2718144056089,10,0,0,0
1100,51.6639176713484,39.2718073003247,10,0,0,0
1200,51.6639257388782,39.2718002076212,10,0,0,0
1300,51.6639338312138,39.2717931276838,10,0,0,0
1400,51.6639419483742,39.2717860606983,10,0,0,0
1500,51.6639500903778,39.2717790068513,10,0,0,0
1600,51.6639582572428,39.2717719663297,10,0,0,0
1700,51.6639664489871,39.2717649393211,10,0,0,0
1800,51.663974665628,39.2717579260134,10,0,0,0
1900,51.6639829071827,39.2717509265953,10,0,0,0
2000,51.6639911736681,39.2717439412559,10,0,0,0
2100,51.6639994651005,39.2717369701849,10,0,0,0
2200,51.664007781496,39.2717300135725,10,0,0,0
2300,51.6640161228704,39.2717230716095,10,0,0,0
2400,51.664024489239,39.2717161444871,10,0,0,0
2500,51.6640328806168,39.2717092323971,10,0,0,0
2600,51.6640412970185,39.2717023355319,10,0,0,0
2700,51.6640497384584,39.2716954540843,10,0,0,0
2800,51.6640582049504,39.2716885882478,10,0,0,0
2900,51.664066696508,39.2716817382163,10,0,0,0
3000,51.6640752131444,39.2716749041843,10,0,0,0
3100,51.6640837548724,39.2716680863467,10,0,0,0
3200,51.6640923217044,39.2716612848991,10,0,0,0
3300,51.6641009136525,39.2716545000375,10,0,0,0
3400,51.6641095307282,39.2716477319585,10,0,0,0
3500,51.664118172943,39.2716409808593,10,0,0,0
3600,51.6641268403076,39.2716342469373,10,0,0,0
3700,51.6641355328326,39.2716275303908,10,0,0,0
3800,51.664144250528,39.2716208314185,10,0,0,0
3900,51.6641529934035,39.2716141502194,10,0,0,0
4000,51.6641617614685,39.2716074869934,10,0,0,0
4100,51.6641705547317,39.2716008419406,10,0,0,0
4200,51.6641793732018,39.2715942152618,10,0,0,0
4300,51.6641882168868,39.2715876071582,10,0,0,0
4400,51.6641970857944,39.2715810178316,10,0,0,0
4500,51.6642059799318,39.2715744474843,10,0,0,0
4600,51.6642148993058,39.2715678963191,10,0,0,0
4700,51.664223843923,39.2715613645392,10,0,0,0
4800,51.6642328137892,39.2715548523485,10,0,0,0
4900,51.6642418089102,39.2715483599514,10,0,0,0
5000,51.6642508292909,39.2715418875525,10,0,0,0
5100,51.6642598749362,39.2715354353574,10,0,0,0
5200,51.6642689458504,39.2715290035717,10,0,0,0
5300,51.6642780420373,39.2715225924019,10,0,0,0
5400,51.6642871635003,39.2715162020547,10,0,0,0
5500,51.6642963102424,39.2715098327376,10,0,0,0
5600,51.6643054822662,39.2715034846583,10,0,0,0
5700,51.6643146795737,39.2714971580252,10,0,0,0
5800,51.6643239021665,39.2714908530472,10,0,0,0
5900,51.6643331500459,39.2714845699334,10,0,0,0
6000,51.6643424232127,39.2714783088938,10,0,0,0
6100,51.664351721667,39.2714720701386,10,0,0,0
6200,51.6643610454087,39.2714658538787,10,0,0,0
6300,51.6643703944372,39.2714596603252,10,0,0,0
6400,51.6643797687513,39.2714534896901,10,0,0,0
6500,51.6643891683495,39.2714473421854,10,0,0,0
6600,51.6643985932298,39.271441218024,10,0,0,0
6700,51.6644080433895,39.2714351174191,10,0,0,0
6800,51.6644175188258,39.2714290405842,10,0,0,0
6900,51.6644270195352,39.2714229877337,10,0,0,0
7000,51.6644365455136,39.2714169590821,10,0,0,0
7100,51.6644460967567,39.2714109548445,10,0,0,0
7200,51.6644556732594,39.2714049752366,10,0,0,0
7300,51.6644652750165,39.2713990204743,10,0,0,0
7400,51.664474902022,39.2713930907742,10,0,0,0
7500,51.6644845542695,39.2713871863532,10,0,0,0
7600,51.6644942317521,39.2713813074289,10,0,0,0
7700,51.6645039344623,39.271375454219,10,0,0,0
7800,51.6645136623922,39.271369626942,10,0,0,0
7900,51.6645234155335,39.2713638258166,10,0,0,0
8000,51.6645331938773,39.2713580510622,10,0,0,0
8100,51.6645429974139,39.2713523028985,10,0,0,0
8200,51.6645528261336,39.2713465815456,10,0,0,0
8300,51.6645626800258,39.2713408872242,10,0,0,0
8400,51.6645725590795,39.2713352201553,10,0,0,0
8500,51.6645824632832,39.2713295805605,10,0,0,0
8600,51.6645923926249,39.2713239686616,10,0,0,0
8700,51.664602347092,39.2713183846812,10,0,0,0
8800,51.6646123266714,39.2713128288419,10,0,0,0
8900,51.6646223313493,39.2713073013672,10,0,0,0
9000,51.6646323611117,39.2713018024806,10,0,0,0
9100,51.6646424159438,39.2712963324063,10,0,0,0
9200,51.6646524958303,39.2712908913689,10,0,0,0
9300,51.6646626007554,39.2712854795933,10,0,0,0
9400,51.6646727307027,39.2712800973049,10,0,0,0
9500,51.6646828856554,39.2712747447296,10,0,0,0
9600,51.6646930655959,39.2712694220936,10,0,0,0
9700,51.6647032705062,39.2712641296235,10,0,0,0
9800,51.6647135003677,39.2712588675464,10,0,0,0
9900,51.6647237551613,39.2712536360897,10,0,0,0
10000,51.6647340348671,39.2712484354814,10,0,0,0
10100,51.664744339465,39.2712432659497,10,0,0,0
10200,51.664754668934,39.2712381277233,10,0,0,0
10300,51.6647650232527,39.2712330210313,10,0,0,0
10400,51.6647754023991,39.2712279461032,10,0,0,0
10500,51.6647858063505,39.2712229031688,10,0,0,0
10600,51.6647962350838,39.2712178924584,10,0,0,0
10700,51.6648066885752,39.2712129142026,10,0,0,0
10800,51.6648171668003,39.2712079686325,10,0,0,0
10900,51.6648276697341,39.2712030559795,10,0,0,0
11000,51.6648381973511,39.2711981764753,10,0,0,0
11100,51.6648487496251,39.2711933303522,10,0,0,0
11200,51.6648593265295,39.2711885178427,10,0,0,0
11300,51.6648699280367,39.2711837391796,10,0,0,0
11400,51.6648805541189,39.2711789945963,10,0,0,0
11500,51.6648912047474,39.2711742843264,10,0,0,0
11600,51.6649018798931,39.2711696086039,10,0,0,0
11700,51.6649125795261,39.2711649676632,10,0,0,0
11800,51.6649233036161,39.2711603617389,10,0,0,0
11900,51.6649340521319,39.2711557910661,10,0,0,0
12000,51.6649448250419,39.2711512558802,10,0,0,0
12100,51.6649556223138,39.2711467564169,10,0,0,0
12200,51.6649664439147,39.2711422929125,10,0,0,0
12300,51.6649772898109,39.2711378656031,10,0,0,0
12400,51.6649881599683,39.2711334747258,10,0,0,0
12500,51.6649990543521,39.2711291205174,10,0,0,0
12600,51.6650099729267,39.2711248032155,10,0,0,0
12700,51.6650209156561,39.2711205230577,10,0,0,0
12800,51.6650318825034,39.2711162802822,10,0,0,0
12900,51.6650428734312,39.2711120751273,10,0,0,0
13000,51.6650538884015,39.2711079078317,10,0,0,0
13100,51.6650649273754,39.2711037786344,10,0,0,0
13200,51.6650759903137,39.2710996877747,10,0,0,0
13300,51.6650870771763,39.2710956354921,10,0,0,0
13400,51.6650981879223,39.2710916220267,10,0,0,0
13500,51.6651093225105,39.2710876476186,10,0,0,0
13600,51.6651204808988,39.2710837125082,10,0,0,0
13700,51.6651316630444,39.2710798169364,10,0,0,0
13800,51.665142868904,39.2710759611441,10,0,0,0
13900,51.6651540984334,39.2710721453729,10,0,0,0
14000,51.6651653515879,39.2710683698641,10,0,0,0
14100,51.665176628322,39.2710646348598,10,0,0,0
14200,51.6651879285895,39.271060940602,10,0,0,0
14300,51.6651992523437,39.2710572873332,10,0,0,0
14400,51.6652105995371,39.271053675296,10,0,0,0
14500,51.6652219701213,39.2710501047334,10,0,0,0
14600,51.6652333640475,39.2710465758886,10,0,0,0
14700,51.665244781266,39.2710430890049,10,0,0,0
14800,51.6652562217265,39.271039644326,10,0,0,0
14900,51.6652676853781,39.2710362420958,10,0,0,0
15000,51.6652791721689,39.2710328825584,10,0,0,0
15100,51.6652906820464,39.2710295659583,10,0,0,0
15200,51.6653022149576,39.2710262925399,10,0,0,0
15300,51.6653137708484,39.2710230625481,10,0,0,0
15400,51.6653253496644,39.271019876228,10,0,0,0
15500,51.6653369513501,39.2710167338247,10,0,0,0
15600,51.6653485758496,39.2710136355837,10,0,0,0
15700,51.6653602231059,39.2710105817506,10,0,0,0
15800,51.6653718930616,39.2710075725714,10,0,0,0
15900,51.6653835856584,39.2710046082919,10,0,0,0
16000,51.6653953008374,39.2710016891585,10,0,0,0
16100,51.6654070385387,39.2709988154176,10,0,0,0
16200,51.6654187987019,39.2709959873157,10,0,0,0
16300,51.6654305812659,39.2709932050997,10,0,0,0
16400,51.6654423861684,39.2709904690164,10,0,0,0
16500,51.665454213347,39.270987779313,10,0,0,0
16600,51.665466062738,39.2709851362367,10,0,0,0
16700,51.6654779342772,39.2709825400349,10,0,0,0
16800,51.6654898278997,39.2709799909552,10,0,0,0
16900,51.6655017435396,39.2709774892454,10,0,0,0
17000,51.6655136811305,39.2709750351533,10,0,0,0
17100,51.665525640605,39.2709726289268,10,0,0,0
17200,51.6655376218951,39.2709702708141,10,0,0,0
17300,51.6655496249319,39.2709679610635,10,0,0,0
17400,51.6655616496459,39.2709656999233,10,0,0,0
17500,51.6655736959665,39.270963487642,10,0,0,0
17600,51.6655857638227,39.2709613244682,10,0,0,0
17700,51.6655978531425,39.2709592106506,10,0,0,0
17800,51.6656099638531,39.2709571464381,10,0,0,0
17900,51.6656220958811,39.2709551320794,10,0,0,0
18000,51.665634249152,39.2709531678236,10,0,0,0
18100,51.6656464235907,39.2709512539198,10,0,0,0
18200,51.6656586191214,39.2709493906171,10,0,0,0
18300,51.6656708356673,39.2709475781647,10,0,0,0
