Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
0,51.66383056,39.27188611,10,0,0,0
100,51.6638376369955,39.2718950193363,10,0,0,0
200,51.6638447028951,39.2719039514174,10,0,0,0
300,51.6638517576704,39.2719129062077,10,0,0,0
400,51.6638588012933,39.2719218836713,10,0,0,0
500,51.6638658337355,39.2719308837722,10,0,0,0
600,51.663872854969,39.2719399064746,10,0,0,0
700,51.6638798649657,39.2719489517423,10,0,0,0
800,51.6638868636974,39.2719580195392,10,0,0,0
900,51.6638938511363,39.2719671098289,10,0,0,0
1000,51.6639008272543,39.2719762225752,10,0,0,0
1100,51.6639077920235,39.2719853577415,10,0,0,0
1200,51.6639147454161,39.2719945152914,10,0,0,0
1300,51.6639216874042,39.2720036951882,10,0,0,0
1400,51.6639286179602,39.2720128973952,10,0,0,0
1500,51.6639355370561,39.2720221218755,10,0,0,0
1600,51.6639424446645,39.2720313685924,10,0,0,0
1700,51.6639493407576,39.2720406375087,10,0,0,0
1800,51.6639562253078,39.2720499285875,10,0,0,0
1900,51.6639630982877,39.2720592417916,10,0,0,0
2000,51.6639699596696,39.2720685770837,10,0,0,0
2100,51.6639768094262,39.2720779344265,10,0,0,0
2200,51.6639836475301,39.2720873137825,10,0,0,0
2300,51.6639904739538,39.2720967151143,10,0,0,0
2400,51.6639972886701,39.2721061383842,10,0,0,0
2500,51.6640040916518,39.2721155835546,10,0,0,0
2600,51.6640108828715,39.2721250505877,10,0,0,0
2700,51.6640176623022,39.2721345394455,10,0,0,0
2800,51.6640244299166,39.2721440500903,10,0,0,0
2900,51.6640311856879,39.2721535824838,10,0,0,0
3000,51.6640379295888,39.272163136588,10,0,0,0
3100,51.6640446615924,39.2721727123648,10,0,0,0
3200,51.6640513816719,39.2721823097756,10,0,0,0
3300,51.6640580898002,39.2721919287823,10,0,0,0
3400,51.6640647859506,39.2722015693463,10,0,0,0
3500,51.6640714700963,39.272211231429,10,0,0,0
3600,51.6640781422105,39.2722209149918,10,0,0,0
