Time (EpSec),x (m),y (m),z (m)
1,1261253.079,-4293828.955,4529312.548
60,1261253.079,-4293828.955,4529312.548
110,1261253.079,-4293828.955,4529312.548
160,1261264.961,-4293821.101,4529316.658
260,1261264.961,-4293821.101,4529316.658
310,1261253.079,-4293828.955,4529312.548
410,1261253.079,-4293828.955,4529312.548
460,1261264.961,-4293821.101,4529316.658
560,1261264.961,-4293821.101,4529316.658
610,1261253.079,-4293828.955,4529312.548
710,1261253.079,-4293828.955,4529312.548
760,1261264.961,-4293821.101,4529316.658
860,1261264.961,-4293821.101,4529316.658
910,1261253.079,-4293828.955,4529312.548
1010,1261253.079,-4293828.955,4529312.548
1060,1261264.961,-4293821.101,4529316.658
1160,1261264.961,-4293821.101,4529316.658
1210,1261253.079,-4293828.955,4529312.548
1310,1261253.079,-4293828.955,4529312.548
1360,1261264.961,-4293821.101,4529316.658
1460,1261264.961,-4293821.101,4529316.658
