day,hour,minute,sec,round(csec),prn,Lvec,signal level,phase hist
0.0,0.0,0.0,2.0,1,2,0,-0.3801313095822737,0.0023525077286865167
0.0,0.0,0.0,2.0,1,2,1,-0.11761771835090781,-0.0022926492010363324
0.0,0.0,0.0,2.0,2.0,2,0,-0.38061926727722856,0.0023556173780527948
0.0,0.0,0.0,2.0,2.0,2,1,-0.11880442454991291,-0.002294741949454298
0.0,0.0,0.0,2.0,3.0,2,0,-0.38104667118453917,0.002358806931629768
0.0,0.0,0.0,2.0,3.0,2,1,-0.11996215359440321,-0.0022968763818867312
0.0,0.0,0.0,2.0,4.0,2,0,-0.38152292452096215,0.0023621330088937223
0.0,0.0,0.0,2.0,4.0,2,1,-0.12103756418849174,-0.0022991375037449495
0.0,0.0,0.0,2.0,5.0,2,0,-0.382013176684753,0.0023655864304984522
0.0,0.0,0.0,2.0,5.0,2,1,-0.12214703568941768,-0.0023017255777854815
0.0,0.0,0.0,2.0,6.0,2,0,-0.3824920944686756,0.002369227351705696
0.0,0.0,0.0,2.0,6.0,2,1,-0.12338340720961308,-0.0023046679419739583
0.0,0.0,0.0,2.0,7.0,2,0,-0.382985334263539,0.002372986338245417
0.0,0.0,0.0,2.0,7.0,2,1,-0.12469771880337394,-0.0023079470095229665
0.0,0.0,0.0,2.0,8.0,2,0,-0.3834758823133063,0.002376829413374427
0.0,0.0,0.0,2.0,8.0,2,1,-0.12606529297416705,-0.0023121953670273026
0.0,0.0,0.0,2.0,9.0,2,0,-0.3839856183106827,0.0023806193407775933
0.0,0.0,0.0,2.0,9.0,2,1,-0.12745208357272536,-0.002318019241915781
0.0,0.0,0.0,2.0,10.0,2,0,-0.38456633461510825,0.0023841171690749453
0.0,0.0,0.0,2.0,10.0,2,1,-0.12881720233063412,-0.0023247666495490402
0.0,0.0,0.0,2.0,11.0,2,0,-0.38520960486561584,0.002387347299270184
0.0,0.0,0.0,2.0,11.0,2,1,-0.13019325904901258,-0.0023315571438699677
0.0,0.0,0.0,2.0,12.0,2,0,-0.3858904601927654,0.00239060867736704
0.0,0.0,0.0,2.0,12.0,2,1,-0.1316609095653672,-0.0023384273570733302
0.0,0.0,0.0,2.0,13.0,2,0,-0.38668956498542245,0.002393881043171454
0.0,0.0,0.0,2.0,13.0,2,1,-0.13323958640548952,-0.002345796470679361
0.0,0.0,0.0,2.0,14.0,2,0,-0.38767310931894206,0.002397064029437618
0.0,0.0,0.0,2.0,14.0,2,1,-0.13481617219979805,-0.00235361270885449
0.0,0.0,0.0,2.0,15.0,2,0,-0.3887433412653941,0.0024002991657130456
0.0,0.0,0.0,2.0,15.0,2,1,-0.13633069126572697,-0.002361143317541925
0.0,0.0,0.0,2.0,16.0,2,0,-0.38982097293159323,0.002403475419359485
0.0,0.0,0.0,2.0,16.0,2,1,-0.13785821323402564,-0.0023680864418632085
0.0,0.0,0.0,2.0,17.0,2,0,-0.3908921531721994,0.0024065627791606896
0.0,0.0,0.0,2.0,17.0,2,1,-0.1394098025285931,-0.00237497631232302
0.0,0.0,0.0,2.0,18.0,2,0,-0.3919238221624881,0.002409782579369048
0.0,0.0,0.0,2.0,18.0,2,1,-0.14089773040211645,-0.002382272898228405
0.0,0.0,0.0,2.0,19.0,2,0,-0.3929780159040194,0.002413145055609427
0.0,0.0,0.0,2.0,19.0,2,1,-0.14231819347783703,-0.0023901467017407073
0.0,0.0,0.0,2.0,20.0,2,0,-0.3941522569859585,0.002416446004426849
0.0,0.0,0.0,2.0,20.0,2,1,-0.14373751668183618,-0.002398355713604282
0.0,0.0,0.0,2.0,21.0,2,0,-0.39537271821299,0.0024195687962572645
0.0,0.0,0.0,2.0,21.0,2,1,-0.1451266219208662,-0.002406197632409377
0.0,0.0,0.0,2.0,22.0,2,0,-0.3965514526838803,0.00242238616719529
0.0,0.0,0.0,2.0,22.0,2,1,-0.14642674563033573,-0.0024135250796286363
0.0,0.0,0.0,2.0,23.0,2,0,-0.3977355816340608,0.002424624140327499
0.0,0.0,0.0,2.0,23.0,2,1,-0.14769760097443219,-0.00242063222050501
0.0,0.0,0.0,2.0,24.0,2,0,-0.39895380480359427,0.0024263654966172354
0.0,0.0,0.0,2.0,24.0,2,1,-0.14899298753054557,-0.002427415314740662
0.0,0.0,0.0,2.0,25.0,2,0,-0.40018842592340087,0.002428095685858491
0.0,0.0,0.0,2.0,25.0,2,1,-0.15022569757381224,-0.002433737231508764
0.0,0.0,0.0,2.0,26.0,2,0,-0.4014237978023407,0.00242991742217046
0.0,0.0,0.0,2.0,26.0,2,1,-0.15134901403298287,-0.0024394704082561984
0.0,0.0,0.0,2.0,27.0,2,0,-0.4026811202560135,0.002431580553057732
0.0,0.0,0.0,2.0,27.0,2,1,-0.1524491957965048,-0.0024443347676074874
0.0,0.0,0.0,2.0,28.0,2,0,-0.4039354043799301,0.0024330702395815
0.0,0.0,0.0,2.0,28.0,2,1,-0.1535628912480735,-0.0024484633483321415
0.0,0.0,0.0,2.0,29.0,2,0,-0.40513024401570336,0.002434606344393693
0.0,0.0,0.0,2.0,29.0,2,1,-0.1546585983557931,-0.002452297320818561
0.0,0.0,0.0,2.0,30.0,2,0,-0.4063124233776745,0.0024366616537164695
0.0,0.0,0.0,2.0,30.0,2,1,-0.15573690935251894,-0.0024556450327652022
0.0,0.0,0.0,2.0,31.0,2,0,-0.40750349486932563,0.002439495838999573
0.0,0.0,0.0,2.0,31.0,2,1,-0.1568321454243216,-0.002458175430874721
0.0,0.0,0.0,2.0,32.0,2,0,-0.40871621148324816,0.0024429710707178703
0.0,0.0,0.0,2.0,32.0,2,1,-0.15791473932107047,-0.0024602398576239405
0.0,0.0,0.0,2.0,33.0,2,0,-0.4099788259188393,0.0024472615780050016
